Comments	Good/Bad	Search Term	Hard Sort TF Ranking	Ranking	Score	Company Name	URL	Description	Profile Views	Mosaic Overall	Last Funding Date	News Article Count	Total Funding	Number of Fundings	Number of Deals	Number of Investors	Noun Phrases
	bad	meatless	3	62	0.6324342	uBiome	ubiome.com	uBiome is a citizen science startup that sequences the human microbiome and allows the public access to sequencing technology. uBiome's commercial products include SmartGut, a sequencing-based clinical microbiome test, which identifies microbes in the gut for patients with chronic gut conditions such as IBD, IBS, Crohn's Disease, and ulcerative colitis; SmartJane, a sequencing-based women's health screening test, which genotypes all 19 clinically relevant strains of HPV, identifies four common STDs, and surveys more than 20 vaginal microbes associated with bacterial vaginosis and other conditions; and Explorer, a health and wellness product to understand the role that food and lifestyle can play in wellness.	870		2019-10-02	180	109.8700027	8	8	11	
	bad	meatless	4	63	0.4640781	GrubMarket	grubmarket.com	GrubMarket is an online farmer's market offering fresh, high quality food from local vendors. The company's mission is to change the world by making it easy for certified local food producers, of any scale, to conveniently connect with their customers.	393	720	2019-05-31	47	104.5599976	11	18	29	
	bad	meatless	5	64	0.6670016	Aurora Algae	aurorainc.com	Aurora Algae, formerly Aurora Biofuels, is a producer of high-performance, premium algae-based products for the pharmaceutical, nutrition, aquaculture and fuels markets. The Company has developed a commercial-scale photosynthetic platform for sustainable, algae-based product development. Aurora Algae's algae strains and production process uses arid land, seawater and captured carbon pollution from industrial emitters, resulting in more capitally efficient and more environmentally sustainable algae farming. Aurora Algae enables its customers and partners to improve the diversity and sustainability of product portfolios, while addressing consumer demand for natural products.	19		2012-09-28	5	67.72000122	6	6	4	
	good	meatless	38	97	10.385769	The Meatless Farm Co	meatlessfarm.com	The Meatless Farm Co offers plant-based burger and mince products.	10		2019-09-23	24	0	1	1	1	
	good	meatless	1	60	0.6670016	Impossible Foods	impossiblefoods.com	Impossible Foods is developing technologies to produce plant-based foods that outperform existing meat and dairy products in taste and nutrition, at a lower cost and with a much lower impact on the global environment.	2360		2019-05-13	255	806.1599731	9	9	27	
	good	meatless	2	61	0.4640781	Motif FoodWorks	madewithmotif.com	Motif FoodWorks is an ingredients company dedicated to reshaping the landscape of food through science and technology. It offers sustainable alternative proteins and wide-ranging ingredient solutions for food producers.	164		2019-08-15	24	117.5	3	3	7	
Only 2 companies in this space, UiPath and Automation Anywhere	good	robotic process automation	1	7	9.757402	UiPath	uipath.com	UiPath is a New York-based robotic process automation (RPA) company that delivers free and open training and collaboration and enables robots to learn new skills through AI and machine learning. The technology is used by thousands of companies particularly in document management, contact center, healthcare, finance and accounting, human resources, and supply chains and to address major technical challenges, including data extraction and migration, process automation, application integration and business process outsourcing.	2784	930	2019-04-30	286	1016	6	8	16	
Only 2 companies in this space, UiPath and Automation Anywhere	good	robotic process automation	2	5	9.815281	Automation Anywhere	automationanywhere.com	Automation Anywhere is a cognitive robotic process automation platform that uses software robots to automate business processes not automated by traditional technology platforms. Its Intelligent Digital Workforce Platform combines cognitive automation and analytics, driving productivity and business process accuracy with near-zero error rates.	1629	960	2019-11-21	169	840	4	6	7	
	bad	robotic process automation	3	87	0.79138327	Galvanize	galvanize.com	Galvanize is a dynamic tech learning community that offers education, workspace, and networking for students, startups, and large companies. Galvanize teaches web development, data science, and data engineering to students, offers support and workspace to member companies, and provides networking events across nine urban campuses throughout the nation. Galvanize campuses bring together entrepreneurs, students, investors, mentors, and great people and companies to develop the skills, mindset, and networks necessary to thrive in a technology-driven world.	348		2019-09-27	82	144.5500031	15	15	11	
More up and coming companies clients should care about	good	beauty	1	75	9.586218	The Hut Group	thg.com	The Hut Group is a United Kingdom-based e-commerce company specializing in health, beauty, fitness and lifestyle.	394	630	2019-12-16	240	4200.759766	16	30	17	
