search term, company, notes
Meatless,The Meatless Farm Co
Beauty,BeautyCounter
Beauty,Purplle,is in query 1
Beauty,IL MAKIAGE
Beauty,PhiSkin
Beauty,MyGlamm
Insurance tech,lemonade,is in insurtech and insurance — take a closer look at "tech" examples
Insurance tech,next insurance
Insurance tech,simplesurance
Insurance tech,cover fox,is in regular insurance
Insurance tech,weather analytics
conversational AI,ojo labs
conversational AI,Uniphore Software Systems
Conversational ai,Automat.ai
smart home,Vivint Smart Home
smart home,porch
Insurtech,zesty.ai
Insurtech,leaselock
Insurtech,cover genius
Insurtech,avinew
Real estate tech,easyknock
Real estate tech,lyric
Real estate tech,zerodown
Real estate tech,reali
Real estate tech,smartrent
Real estate tech,bowery valuation
Real estate tech,homesnap
Real estate tech,knock
Proptech,all of them except nested and squarefoot
natural language processing,inbenta
artificial intelligence,openAI
Machine learning,insitro
Machine learning,pathAI
Machine learning,OWKIN
Lending,lendingpoint
Lending,landbay
Lending,lendkey technologies
Mattress,casper,is in query 2
Mattress,simba sleep
Insurance,vouch insurance
Insurance,ladder
Insurance,Pie Insurance
Insurance,Bold Penguin
Insurance,Coalition
Insurance,eBaoTech
